"user1_id","user2_id","u1_looking_for_type","u1_city","u1_budget_min","u1_budget_max","u1_hobby_gym","u1_hobby_gaming","u1_hobby_cooking","u1_hobby_creative","u1_hobby_hiking","u1_hobby_music","u1_hobby_movies","u1_hobby_foodie","u1_hobby_partying","u1_hobby_reading","u1_pref_smoking","u1_pref_drinking","u1_pref_introverted","u1_pref_clean_high","u1_pref_noise_sensitive","u1_pref_guests_ok","u1_pref_student","u1_pref_night_owl","u2_looking_for_type","u2_city","u2_budget_min","u2_budget_max","u2_hobby_gym","u2_hobby_gaming","u2_hobby_cooking","u2_hobby_creative","u2_hobby_hiking","u2_hobby_music","u2_hobby_movies","u2_hobby_foodie","u2_hobby_partying","u2_hobby_reading","u2_pref_smoking","u2_pref_drinking","u2_pref_introverted","u2_pref_clean_high","u2_pref_noise_sensitive","u2_pref_guests_ok","u2_pref_student","u2_pref_night_owl","y_match"
"1","2","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","0"
"1","3","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","0"
"2","3","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","0"
"1","4","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","0"
"2","4","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","0"
"3","4","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","0"
"1","5","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0"
"2","5","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0"
"3","5","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0"
"4","5","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0"
